t,agent,err_deg,r_des_deg,derr_deg,P_deg,I_deg,I_raw_deg,D_deg,raw_preinv_deg,raw_deg,rud_preinv_deg,rud_deg,psi_deg,hd_cmd_deg,r_meas_deg,x_m,y_m,event,role,crossing_lock,flagged_give_way
3.0,1,-31.412303831579024,-0.03926537978947378,-0.7335823472696549,-5.497153170526329,-0.0,-1.7684069329375,-0.293432938907862,17.1175989796875,17.1175989796875,-20.0,-20.0,-172.24750442251107,156.34019174590992,0.6943169674801811,516686.64714096737,5372293.059176592,,,-1,0
3.5,0,-31.68056265992362,-0.03960070332490453,-0.5761183600141424,-5.544098465486633,-0.0,-3.2654645064093755,-0.23044734400565692,17.426439336796875,17.426439336796875,-20.0,-20.0,1.6805626599236518,-29.99999999999997,0.5365176566892378,514919.12538824603,5372095.133892593,,,-1,0
3.5,1,-31.680562659923645,-0.039600703324904556,-0.5761183600141424,-5.544098465486638,-0.0,-3.2654645064093755,-0.23044734400565692,17.426439336796875,17.426439336796875,-20.0,-20.0,-171.97924559416646,156.34019174590992,0.5365176566892378,516684.15846184053,5372292.708496217,,,-1,0
4.0,0,-31.86992183287274,-0.03983740229109093,-0.4185557481893854,-5.577236320752729,-0.0,-4.770551929166094,-0.16742229927575417,17.627185568917966,17.627185568917966,-20.0,-20.0,1.869921832872791,-29.999999999999943,0.3787183458982945,514921.6391905818,5372095.215962922,,,-1,0
4.0,1,-31.86992183287279,-0.03983740229109099,-0.4185557481893855,-5.577236320752738,-0.0,-4.770551929166094,-0.16742229927575422,17.627185568917966,17.627185568917966,-20.0,-20.0,-171.7898864212173,156.34019174590992,0.3787183458982945,516681.6690977386,5372292.349324823,,,-1,0
4.5,0,-31.98038135042639,-0.03997547668803299,-0.2608945117953842,-5.596566736324617,-0.0,-6.280858753957961,-0.10435780471815367,17.757670619796677,17.757670619796677,-20.0,-20.0,1.9803813504264554,-29.999999999999943,0.22091903510735117,514924.15470114513,5372095.302944111,,,-1,0
4.5,1,-31.980381350426466,-0.039975476688033085,-0.26089451179538425,-5.596566736324632,-0.0,-6.280858753957961,-0.10435780471815372,17.757670619796677,17.757670619796677,-20.0,-20.0,-171.67942690366363,156.34019174590992,0.22091903510735117,516679.17857817066,5372291.985083965,,,-1,0
0.0,0,-4.999999999999995,-0.024999999999999974,-0.024999999999999974,-1.749999999999998,0.0,0.468,-0.00999999999999999,6.299999999999999,6.299999999999999,18.0,18.0,0.0,-5.0,0.0,514901.57475958654,5372094.8895184295,,,-1,0
0.0,1,-5.0000000000000195,-0.025000000000000102,347.2946165081802,-1.7500000000000069,0.0,0.468,138.9178466032721,6.299999999999999,6.299999999999999,18.0,18.0,-173.6598082540901,-178.6598082540901,-347.3196165081802,516701.57475958654,5372294.8895184295,RUD_SAT,,-1,0
0.5,0,-10.071009689855929,-0.012588762112319912,-0.15460814182419944,-3.5248533914495748,0.0,0.7722,-0.061843256729679774,10.395,10.395,18.0,18.0,0.07100968985594136,-10.0,0.14201937971187953,514904.0766663431,5372094.892619177,,,-1,0
0.5,1,-10.071009689855954,-0.012588762112319943,-0.15460814182419946,-3.5248533914495837,0.0,0.7722,-0.06184325672967979,10.395,10.395,18.0,18.0,-173.58879856423417,176.34019174590992,0.14201937971187953,516699.0884975758,5372294.610147267,,,-1,0
1.0,0,-15.213029069567776,-0.01901628633695972,-0.3030550457606679,-2.6622800871743606,0.0,0.9699300000000001,-0.12122201830426714,13.05675,13.05675,18.0,18.0,0.21302906956779566,-15.0,0.28403875942370815,514906.5804618216,5372094.901928478,,,-1,0
1.0,1,-15.213029069567803,-0.019016286336959756,-0.3030550457606679,-2.662280087174365,0.0,0.9699300000000001,-0.12122201830426717,13.05675,13.05675,18.0,18.0,-173.4467791845223,171.34019174590992,0.28403875942370815,516696.60104401514,5372294.324396947,,,-1,0
1.5,0,-20.426058139135566,-0.02553257267391946,-0.4515907118095071,-3.5745601743487234,0.0,1.0984545000000001,-0.18063628472380283,14.786887499999997,14.786887499999997,18.0,18.0,0.4260581391355629,-20.0,0.42605813913558765,514909.0861048691,5372094.920561077,,,-1,0
1.5,1,-20.42605813913559,-0.02553257267391949,-0.45159071180950716,-3.5745601743487283,0.0,1.0984545000000001,-0.1806362847238029,14.786887499999997,14.786887499999997,18.0,18.0,-173.23375011495452,166.34019174590992,0.42605813913558765,516694.1127837717,5372294.029176325,,,-1,0
2.0,0,-25.710096898559293,-0.032137621123199116,-0.6002151399706154,-4.499266957247876,0.0,1.181995425,-0.24008605598824614,15.911476875,15.911476875,18.0,18.0,0.7100968985592715,-25.0,0.5680775188474163,514911.59351959097,5372094.951638385,,,-1,0
2.0,1,-25.710096898559318,-0.03213762112319915,-0.6002151399706154,-4.4992669572478805,0.0,1.181995425,-0.24008605598824614,15.911476875,15.911476875,18.0,18.0,-172.9497113555308,161.34019174590986,0.5680775188474163,516691.6241369781,5372293.72139146,,,-1,0
2.5,0,-31.06514534783891,-0.038831431684798634,-0.7489283302440944,-5.436400435871809,-0.0,-0.2837029737500001,-0.29957133209763775,16.64245996875,16.64245996875,-1.9999999999999996,-1.9999999999999996,1.0651453478389215,-29.99999999999997,0.7100968985592958,514914.1025836875,5372094.998287996,,,-1,0
2.5,1,-31.065145347838936,-0.03883143168479867,-0.7489283302440946,-5.436400435871813,-0.0,-0.2837029737500001,-0.2995713320976378,16.64245996875,16.64245996875,-1.9999999999999996,-1.9999999999999996,-172.59466290625116,156.34019174590992,0.7100968985592958,516689.1355705711,5372293.397947392,,,-1,0
3.0,0,-31.412303831578974,-0.039265379789473726,-0.7335823472696548,-5.497153170526321,-0.0,-1.7684069329375,-0.29343293890786193,17.1175989796875,17.1175989796875,-20.0,-20.0,1.4123038315790097,-29.999999999999943,0.6943169674801811,514916.613204372,5372095.060185705,,,-1,0
3.0,1,-31.412303831579024,-0.03926537978947378,-0.7335823472696549,-5.497153170526329,-0.0,-1.7684069329375,-0.293432938907862,17.1175989796875,17.1175989796875,-20.0,-20.0,-172.24750442251107,156.34019174590992,0.6943169674801811,516686.64714096737,5372293.059176592,,,-1,0
3.5,0,-31.68056265992362,-0.03960070332490453,-0.5761183600141424,-5.544098465486633,-0.0,-3.2654645064093755,-0.23044734400565692,17.426439336796875,17.426439336796875,-20.0,-20.0,1.6805626599236518,-29.99999999999997,0.5365176566892378,514919.12538824603,5372095.133892593,,,-1,0
3.5,1,-31.680562659923645,-0.039600703324904556,-0.5761183600141424,-5.544098465486638,-0.0,-3.2654645064093755,-0.23044734400565692,17.426439336796875,17.426439336796875,-20.0,-20.0,-171.97924559416646,156.34019174590992,0.5365176566892378,516684.15846184053,5372292.708496217,,,-1,0
4.0,0,-31.86992183287274,-0.03983740229109093,-0.4185557481893854,-5.577236320752729,-0.0,-4.770551929166094,-0.16742229927575417,17.627185568917966,17.627185568917966,-20.0,-20.0,1.869921832872791,-29.999999999999943,0.3787183458982945,514921.6391905818,5372095.215962922,,,-1,0
4.0,1,-31.86992183287279,-0.03983740229109099,-0.4185557481893855,-5.577236320752738,-0.0,-4.770551929166094,-0.16742229927575422,17.627185568917966,17.627185568917966,-20.0,-20.0,-171.7898864212173,156.34019174590992,0.3787183458982945,516681.6690977386,5372292.349324823,,,-1,0
4.5,0,-31.98038135042639,-0.03997547668803299,-0.2608945117953842,-5.596566736324617,-0.0,-6.280858753957961,-0.10435780471815367,17.757670619796677,17.757670619796677,-20.0,-20.0,1.9803813504264554,-29.999999999999943,0.22091903510735117,514924.15470114513,5372095.302944111,,,-1,0
4.5,1,-31.980381350426466,-0.039975476688033085,-0.26089451179538425,-5.596566736324632,-0.0,-6.280858753957961,-0.10435780471815372,17.757670619796677,17.757670619796677,-20.0,-20.0,-171.67942690366363,156.34019174590992,0.22091903510735117,516679.17857817066,5372291.985083965,,,-1,0
0.0,0,-4.999999999999995,-0.024999999999999974,-0.024999999999999974,-1.749999999999998,0.0,0.468,-0.00999999999999999,6.299999999999999,6.299999999999999,18.0,18.0,0.0,-5.0,0.0,514901.57475958654,5372094.8895184295,,,-1,0
0.0,1,-5.0000000000000195,-0.025000000000000102,347.2946165081802,-1.7500000000000069,0.0,0.468,138.9178466032721,6.299999999999999,6.299999999999999,18.0,18.0,-173.6598082540901,-178.6598082540901,-347.3196165081802,516701.57475958654,5372294.8895184295,RUD_SAT,,-1,0
0.5,0,-10.071009689855929,-0.012588762112319912,-0.15460814182419944,-3.5248533914495748,0.0,0.7722,-0.061843256729679774,10.395,10.395,18.0,18.0,0.07100968985594136,-10.0,0.14201937971187953,514904.0766663431,5372094.892619177,,,-1,0
0.5,1,-10.071009689855954,-0.012588762112319943,-0.15460814182419946,-3.5248533914495837,0.0,0.7722,-0.06184325672967979,10.395,10.395,18.0,18.0,-173.58879856423417,176.34019174590992,0.14201937971187953,516699.0884975758,5372294.610147267,,,-1,0
1.0,0,-15.213029069567776,-0.01901628633695972,-0.3030550457606679,-2.6622800871743606,0.0,0.9699300000000001,-0.12122201830426714,13.05675,13.05675,18.0,18.0,0.21302906956779566,-15.0,0.28403875942370815,514906.5804618216,5372094.901928478,,,-1,0
1.0,1,-15.213029069567803,-0.019016286336959756,-0.3030550457606679,-2.662280087174365,0.0,0.9699300000000001,-0.12122201830426717,13.05675,13.05675,18.0,18.0,-173.4467791845223,171.34019174590992,0.28403875942370815,516696.60104401514,5372294.324396947,,,-1,0
1.5,0,-20.426058139135566,-0.02553257267391946,-0.4515907118095071,-3.5745601743487234,0.0,1.0984545000000001,-0.18063628472380283,14.786887499999997,14.786887499999997,18.0,18.0,0.4260581391355629,-20.0,0.42605813913558765,514909.0861048691,5372094.920561077,,,-1,0
1.5,1,-20.42605813913559,-0.02553257267391949,-0.45159071180950716,-3.5745601743487283,0.0,1.0984545000000001,-0.1806362847238029,14.786887499999997,14.786887499999997,18.0,18.0,-173.23375011495452,166.34019174590992,0.42605813913558765,516694.1127837717,5372294.029176325,,,-1,0
2.0,0,-25.710096898559293,-0.032137621123199116,-0.6002151399706154,-4.499266957247876,0.0,1.181995425,-0.24008605598824614,15.911476875,15.911476875,18.0,18.0,0.7100968985592715,-25.0,0.5680775188474163,514911.59351959097,5372094.951638385,,,-1,0
2.0,1,-25.710096898559318,-0.03213762112319915,-0.6002151399706154,-4.4992669572478805,0.0,1.181995425,-0.24008605598824614,15.911476875,15.911476875,18.0,18.0,-172.9497113555308,161.34019174590986,0.5680775188474163,516691.6241369781,5372293.72139146,,,-1,0
2.5,0,-31.06514534783891,-0.038831431684798634,-0.7489283302440944,-5.436400435871809,-0.0,-0.2837029737500001,-0.29957133209763775,16.64245996875,16.64245996875,-1.9999999999999996,-1.9999999999999996,1.0651453478389215,-29.99999999999997,0.7100968985592958,514914.1025836875,5372094.998287996,,,-1,0
2.5,1,-31.065145347838936,-0.03883143168479867,-0.7489283302440946,-5.436400435871813,-0.0,-0.2837029737500001,-0.2995713320976378,16.64245996875,16.64245996875,-1.9999999999999996,-1.9999999999999996,-172.59466290625116,156.34019174590992,0.7100968985592958,516689.1355705711,5372293.397947392,,,-1,0
3.0,0,-31.412303831578974,-0.039265379789473726,-0.7335823472696548,-5.497153170526321,-0.0,-1.7684069329375,-0.29343293890786193,17.1175989796875,17.1175989796875,-20.0,-20.0,1.4123038315790097,-29.999999999999943,0.6943169674801811,514916.613204372,5372095.060185705,,,-1,0
3.0,1,-31.412303831579024,-0.03926537978947378,-0.7335823472696549,-5.497153170526329,-0.0,-1.7684069329375,-0.293432938907862,17.1175989796875,17.1175989796875,-20.0,-20.0,-172.24750442251107,156.34019174590992,0.6943169674801811,516686.64714096737,5372293.059176592,,,-1,0
3.5,0,-31.68056265992362,-0.03960070332490453,-0.5761183600141424,-5.544098465486633,-0.0,-3.2654645064093755,-0.23044734400565692,17.426439336796875,17.426439336796875,-20.0,-20.0,1.6805626599236518,-29.99999999999997,0.5365176566892378,514919.12538824603,5372095.133892593,,,-1,0
3.5,1,-31.680562659923645,-0.039600703324904556,-0.5761183600141424,-5.544098465486638,-0.0,-3.2654645064093755,-0.23044734400565692,17.426439336796875,17.426439336796875,-20.0,-20.0,-171.97924559416646,156.34019174590992,0.5365176566892378,516684.15846184053,5372292.708496217,,,-1,0
4.0,0,-31.86992183287274,-0.03983740229109093,-0.4185557481893854,-5.577236320752729,-0.0,-4.770551929166094,-0.16742229927575417,17.627185568917966,17.627185568917966,-20.0,-20.0,1.869921832872791,-29.999999999999943,0.3787183458982945,514921.6391905818,5372095.215962922,,,-1,0
4.0,1,-31.86992183287279,-0.03983740229109099,-0.4185557481893855,-5.577236320752738,-0.0,-4.770551929166094,-0.16742229927575422,17.627185568917966,17.627185568917966,-20.0,-20.0,-171.7898864212173,156.34019174590992,0.3787183458982945,516681.6690977386,5372292.349324823,,,-1,0
4.5,0,-31.98038135042639,-0.03997547668803299,-0.2608945117953842,-5.596566736324617,-0.0,-6.280858753957961,-0.10435780471815367,17.757670619796677,17.757670619796677,-20.0,-20.0,1.9803813504264554,-29.999999999999943,0.22091903510735117,514924.15470114513,5372095.302944111,,,-1,0
4.5,1,-31.980381350426466,-0.039975476688033085,-0.26089451179538425,-5.596566736324632,-0.0,-6.280858753957961,-0.10435780471815372,17.757670619796677,17.757670619796677,-20.0,-20.0,-171.67942690366363,156.34019174590992,0.22091903510735117,516679.17857817066,5372291.985083965,,,-1,0
0.0,0,-4.999999999999995,-0.024999999999999974,-0.024999999999999974,-1.749999999999998,0.0,0.468,-0.00999999999999999,6.299999999999999,6.299999999999999,18.0,18.0,0.0,-5.0,0.0,514901.57475958654,5372094.8895184295,,,-1,0
0.0,1,-5.0000000000000195,-0.025000000000000102,347.2946165081802,-1.7500000000000069,0.0,0.468,138.9178466032721,6.299999999999999,6.299999999999999,18.0,18.0,-173.6598082540901,-178.6598082540901,-347.3196165081802,516701.57475958654,5372294.8895184295,RUD_SAT,,-1,0
0.5,0,-10.071009689855929,-0.012588762112319912,-0.15460814182419944,-3.5248533914495748,0.0,0.7722,-0.061843256729679774,10.395,10.395,18.0,18.0,0.07100968985594136,-10.0,0.14201937971187953,514904.0766663431,5372094.892619177,,,-1,0
0.5,1,-10.071009689855954,-0.012588762112319943,-0.15460814182419946,-3.5248533914495837,0.0,0.7722,-0.06184325672967979,10.395,10.395,18.0,18.0,-173.58879856423417,176.34019174590992,0.14201937971187953,516699.0884975758,5372294.610147267,,,-1,0
1.0,0,-15.213029069567776,-0.01901628633695972,-0.3030550457606679,-2.6622800871743606,0.0,0.9699300000000001,-0.12122201830426714,13.05675,13.05675,18.0,18.0,0.21302906956779566,-15.0,0.28403875942370815,514906.5804618216,5372094.901928478,,,-1,0
1.0,1,-15.213029069567803,-0.019016286336959756,-0.3030550457606679,-2.662280087174365,0.0,0.9699300000000001,-0.12122201830426717,13.05675,13.05675,18.0,18.0,-173.4467791845223,171.34019174590992,0.28403875942370815,516696.60104401514,5372294.324396947,,,-1,0
1.5,0,-20.426058139135566,-0.02553257267391946,-0.4515907118095071,-3.5745601743487234,0.0,1.0984545000000001,-0.18063628472380283,14.786887499999997,14.786887499999997,18.0,18.0,0.4260581391355629,-20.0,0.42605813913558765,514909.0861048691,5372094.920561077,,,-1,0
1.5,1,-20.42605813913559,-0.02553257267391949,-0.45159071180950716,-3.5745601743487283,0.0,1.0984545000000001,-0.1806362847238029,14.786887499999997,14.786887499999997,18.0,18.0,-173.23375011495452,166.34019174590992,0.42605813913558765,516694.1127837717,5372294.029176325,,,-1,0
2.0,0,-25.710096898559293,-0.032137621123199116,-0.6002151399706154,-4.499266957247876,0.0,1.181995425,-0.24008605598824614,15.911476875,15.911476875,18.0,18.0,0.7100968985592715,-25.0,0.5680775188474163,514911.59351959097,5372094.951638385,,,-1,0
2.0,1,-25.710096898559318,-0.03213762112319915,-0.6002151399706154,-4.4992669572478805,0.0,1.181995425,-0.24008605598824614,15.911476875,15.911476875,18.0,18.0,-172.9497113555308,161.34019174590986,0.5680775188474163,516691.6241369781,5372293.72139146,,,-1,0
2.5,0,-31.06514534783891,-0.038831431684798634,-0.7489283302440944,-5.436400435871809,-0.0,-0.2837029737500001,-0.29957133209763775,16.64245996875,16.64245996875,-1.9999999999999996,-1.9999999999999996,1.0651453478389215,-29.99999999999997,0.7100968985592958,514914.1025836875,5372094.998287996,,,-1,0
2.5,1,-31.065145347838936,-0.03883143168479867,-0.7489283302440946,-5.436400435871813,-0.0,-0.2837029737500001,-0.2995713320976378,16.64245996875,16.64245996875,-1.9999999999999996,-1.9999999999999996,-172.59466290625116,156.34019174590992,0.7100968985592958,516689.1355705711,5372293.397947392,,,-1,0
3.0,0,-31.412303831578974,-0.039265379789473726,-0.7335823472696548,-5.497153170526321,-0.0,-1.7684069329375,-0.29343293890786193,17.1175989796875,17.1175989796875,-20.0,-20.0,1.4123038315790097,-29.999999999999943,0.6943169674801811,514916.613204372,5372095.060185705,,,-1,0
3.0,1,-31.412303831579024,-0.03926537978947378,-0.7335823472696549,-5.497153170526329,-0.0,-1.7684069329375,-0.293432938907862,17.1175989796875,17.1175989796875,-20.0,-20.0,-172.24750442251107,156.34019174590992,0.6943169674801811,516686.64714096737,5372293.059176592,,,-1,0
3.5,0,-31.68056265992362,-0.03960070332490453,-0.5761183600141424,-5.544098465486633,-0.0,-3.2654645064093755,-0.23044734400565692,17.426439336796875,17.426439336796875,-20.0,-20.0,1.6805626599236518,-29.99999999999997,0.5365176566892378,514919.12538824603,5372095.133892593,,,-1,0
3.5,1,-31.680562659923645,-0.039600703324904556,-0.5761183600141424,-5.544098465486638,-0.0,-3.2654645064093755,-0.23044734400565692,17.426439336796875,17.426439336796875,-20.0,-20.0,-171.97924559416646,156.34019174590992,0.5365176566892378,516684.15846184053,5372292.708496217,,,-1,0
4.0,0,-31.86992183287274,-0.03983740229109093,-0.4185557481893854,-5.577236320752729,-0.0,-4.770551929166094,-0.16742229927575417,17.627185568917966,17.627185568917966,-20.0,-20.0,1.869921832872791,-29.999999999999943,0.3787183458982945,514921.6391905818,5372095.215962922,,,-1,0
4.0,1,-31.86992183287279,-0.03983740229109099,-0.4185557481893855,-5.577236320752738,-0.0,-4.770551929166094,-0.16742229927575422,17.627185568917966,17.627185568917966,-20.0,-20.0,-171.7898864212173,156.34019174590992,0.3787183458982945,516681.6690977386,5372292.349324823,,,-1,0
4.5,0,-31.98038135042639,-0.03997547668803299,-0.2608945117953842,-5.596566736324617,-0.0,-6.280858753957961,-0.10435780471815367,17.757670619796677,17.757670619796677,-20.0,-20.0,1.9803813504264554,-29.999999999999943,0.22091903510735117,514924.15470114513,5372095.302944111,,,-1,0
4.5,1,-31.980381350426466,-0.039975476688033085,-0.26089451179538425,-5.596566736324632,-0.0,-6.280858753957961,-0.10435780471815372,17.757670619796677,17.757670619796677,-20.0,-20.0,-171.67942690366363,156.34019174590992,0.22091903510735117,516679.17857817066,5372291.985083965,,,-1,0
0.0,0,-4.999999999999995,-0.024999999999999974,-0.024999999999999974,-1.749999999999998,0.0,0.468,-0.00999999999999999,6.299999999999999,6.299999999999999,18.0,18.0,0.0,-5.0,0.0,514901.57475958654,5372094.8895184295,,,-1,0
0.0,1,-5.0000000000000195,-0.025000000000000102,347.2946165081802,-1.7500000000000069,0.0,0.468,138.9178466032721,6.299999999999999,6.299999999999999,18.0,18.0,-173.6598082540901,-178.6598082540901,-347.3196165081802,516701.57475958654,5372294.8895184295,RUD_SAT,,-1,0
0.5,0,-10.071009689855929,-0.012588762112319912,-0.15460814182419944,-3.5248533914495748,0.0,0.7722,-0.061843256729679774,10.395,10.395,18.0,18.0,0.07100968985594136,-10.0,0.14201937971187953,514904.0766663431,5372094.892619177,,,-1,0
0.5,1,-10.071009689855954,-0.012588762112319943,-0.15460814182419946,-3.5248533914495837,0.0,0.7722,-0.06184325672967979,10.395,10.395,18.0,18.0,-173.58879856423417,176.34019174590992,0.14201937971187953,516699.0884975758,5372294.610147267,,,-1,0
1.0,0,-15.213029069567776,-0.01901628633695972,-0.3030550457606679,-2.6622800871743606,0.0,0.9699300000000001,-0.12122201830426714,13.05675,13.05675,18.0,18.0,0.21302906956779566,-15.0,0.28403875942370815,514906.5804618216,5372094.901928478,,,-1,0
1.0,1,-15.213029069567803,-0.019016286336959756,-0.3030550457606679,-2.662280087174365,0.0,0.9699300000000001,-0.12122201830426717,13.05675,13.05675,18.0,18.0,-173.4467791845223,171.34019174590992,0.28403875942370815,516696.60104401514,5372294.324396947,,,-1,0
1.5,0,-20.426058139135566,-0.02553257267391946,-0.4515907118095071,-3.5745601743487234,0.0,1.0984545000000001,-0.18063628472380283,14.786887499999997,14.786887499999997,18.0,18.0,0.4260581391355629,-20.0,0.42605813913558765,514909.0861048691,5372094.920561077,,,-1,0
1.5,1,-20.42605813913559,-0.02553257267391949,-0.45159071180950716,-3.5745601743487283,0.0,1.0984545000000001,-0.1806362847238029,14.786887499999997,14.786887499999997,18.0,18.0,-173.23375011495452,166.34019174590992,0.42605813913558765,516694.1127837717,5372294.029176325,,,-1,0
2.0,0,-25.710096898559293,-0.032137621123199116,-0.6002151399706154,-4.499266957247876,0.0,1.181995425,-0.24008605598824614,15.911476875,15.911476875,18.0,18.0,0.7100968985592715,-25.0,0.5680775188474163,514911.59351959097,5372094.951638385,,,-1,0
2.0,1,-25.710096898559318,-0.03213762112319915,-0.6002151399706154,-4.4992669572478805,0.0,1.181995425,-0.24008605598824614,15.911476875,15.911476875,18.0,18.0,-172.9497113555308,161.34019174590986,0.5680775188474163,516691.6241369781,5372293.72139146,,,-1,0
2.5,0,-31.06514534783891,-0.038831431684798634,-0.7489283302440944,-5.436400435871809,-0.0,-0.2837029737500001,-0.29957133209763775,16.64245996875,16.64245996875,-1.9999999999999996,-1.9999999999999996,1.0651453478389215,-29.99999999999997,0.7100968985592958,514914.1025836875,5372094.998287996,,,-1,0
2.5,1,-31.065145347838936,-0.03883143168479867,-0.7489283302440946,-5.436400435871813,-0.0,-0.2837029737500001,-0.2995713320976378,16.64245996875,16.64245996875,-1.9999999999999996,-1.9999999999999996,-172.59466290625116,156.34019174590992,0.7100968985592958,516689.1355705711,5372293.397947392,,,-1,0
3.0,0,-31.412303831578974,-0.039265379789473726,-0.7335823472696548,-5.497153170526321,-0.0,-1.7684069329375,-0.29343293890786193,17.1175989796875,17.1175989796875,-20.0,-20.0,1.4123038315790097,-29.999999999999943,0.6943169674801811,514916.613204372,5372095.060185705,,,-1,0
3.0,1,-31.412303831579024,-0.03926537978947378,-0.7335823472696549,-5.497153170526329,-0.0,-1.7684069329375,-0.293432938907862,17.1175989796875,17.1175989796875,-20.0,-20.0,-172.24750442251107,156.34019174590992,0.6943169674801811,516686.64714096737,5372293.059176592,,,-1,0
3.5,0,-31.68056265992362,-0.03960070332490453,-0.5761183600141424,-5.544098465486633,-0.0,-3.2654645064093755,-0.23044734400565692,17.426439336796875,17.426439336796875,-20.0,-20.0,1.6805626599236518,-29.99999999999997,0.5365176566892378,514919.12538824603,5372095.133892593,,,-1,0
3.5,1,-31.680562659923645,-0.039600703324904556,-0.5761183600141424,-5.544098465486638,-0.0,-3.2654645064093755,-0.23044734400565692,17.426439336796875,17.426439336796875,-20.0,-20.0,-171.97924559416646,156.34019174590992,0.5365176566892378,516684.15846184053,5372292.708496217,,,-1,0
4.0,0,-31.86992183287274,-0.03983740229109093,-0.4185557481893854,-5.577236320752729,-0.0,-4.770551929166094,-0.16742229927575417,17.627185568917966,17.627185568917966,-20.0,-20.0,1.869921832872791,-29.999999999999943,0.3787183458982945,514921.6391905818,5372095.215962922,,,-1,0
4.0,1,-31.86992183287279,-0.03983740229109099,-0.4185557481893855,-5.577236320752738,-0.0,-4.770551929166094,-0.16742229927575422,17.627185568917966,17.627185568917966,-20.0,-20.0,-171.7898864212173,156.34019174590992,0.3787183458982945,516681.6690977386,5372292.349324823,,,-1,0
4.5,0,-31.98038135042639,-0.03997547668803299,-0.2608945117953842,-5.596566736324617,-0.0,-6.280858753957961,-0.10435780471815367,17.757670619796677,17.757670619796677,-20.0,-20.0,1.9803813504264554,-29.999999999999943,0.22091903510735117,514924.15470114513,5372095.302944111,,,-1,0
4.5,1,-31.980381350426466,-0.039975476688033085,-0.26089451179538425,-5.596566736324632,-0.0,-6.280858753957961,-0.10435780471815372,17.757670619796677,17.757670619796677,-20.0,-20.0,-171.67942690366363,156.34019174590992,0.22091903510735117,516679.17857817066,5372291.985083965,,,-1,0
0.0,0,-4.999999999999995,-0.024999999999999974,-0.024999999999999974,-1.749999999999998,0.0,0.468,-0.00999999999999999,6.299999999999999,6.299999999999999,18.0,18.0,0.0,-5.0,0.0,514901.57475958654,5372094.8895184295,,,-1,0
0.0,1,-5.0000000000000195,-0.025000000000000102,347.2946165081802,-1.7500000000000069,0.0,0.468,138.9178466032721,6.299999999999999,6.299999999999999,18.0,18.0,-173.6598082540901,-178.6598082540901,-347.3196165081802,516701.57475958654,5372294.8895184295,RUD_SAT,,-1,0
0.5,0,-10.071009689855929,-0.012588762112319912,-0.15460814182419944,-3.5248533914495748,0.0,0.7722,-0.061843256729679774,10.395,10.395,18.0,18.0,0.07100968985594136,-10.0,0.14201937971187953,514904.0766663431,5372094.892619177,,,-1,0
0.5,1,-10.071009689855954,-0.012588762112319943,-0.15460814182419946,-3.5248533914495837,0.0,0.7722,-0.06184325672967979,10.395,10.395,18.0,18.0,-173.58879856423417,176.34019174590992,0.14201937971187953,516699.0884975758,5372294.610147267,,,-1,0
1.0,0,-15.213029069567776,-0.01901628633695972,-0.3030550457606679,-2.6622800871743606,0.0,0.9699300000000001,-0.12122201830426714,13.05675,13.05675,18.0,18.0,0.21302906956779566,-15.0,0.28403875942370815,514906.5804618216,5372094.901928478,,,-1,0
1.0,1,-15.213029069567803,-0.019016286336959756,-0.3030550457606679,-2.662280087174365,0.0,0.9699300000000001,-0.12122201830426717,13.05675,13.05675,18.0,18.0,-173.4467791845223,171.34019174590992,0.28403875942370815,516696.60104401514,5372294.324396947,,,-1,0
1.5,0,-20.426058139135566,-0.02553257267391946,-0.4515907118095071,-3.5745601743487234,0.0,1.0984545000000001,-0.18063628472380283,14.786887499999997,14.786887499999997,18.0,18.0,0.4260581391355629,-20.0,0.42605813913558765,514909.0861048691,5372094.920561077,,,-1,0
