time_s,x_m,y_m,speed_ms,heading_rad
0.0,367570.9695748418,4342289.372407521,3.0882174395820146,-0.9070491629577465
5.0,367580.49507628253,4342277.232245241,3.0842018474116246,-0.9173112175927717
10.0,367589.8729382088,4342265.001701454,3.080103194829943,-0.9475070634651285
15.0,367598.85147038655,4342252.498523362,3.075725433155123,-1.0016924964598362
20.0,367607.084430751,4342239.516175218,3.070702484519963,-1.082308191917515
25.0,367614.285289919,4342225.958156159,3.0645966297202425,-1.1774042806583143
30.0,367620.3293360391,4342211.871071158,3.057031517781698,-1.272974050482218
35.0,367625.294365932,4342197.394788268,3.0478805868285495,-1.3550058873674327
40.0,367629.4631612629,4342182.697859563,3.0373826250542875,-1.4114499100337776
45.0,367633.2758371396,4342167.934416486,3.026106316942658,-1.4362465216414335
50.0,367637.13186539424,4342153.211217086,3.014638834868758,-1.439318857307682
55.0,367641.3289989161,4342138.607071594,3.0034255883157828,-1.4221556200031287
60.0,367646.1490257191,4342124.2168876985,2.9928672611296125,-1.3855233690901403
65.0,367651.8488161313,4342110.166192812,2.983320197885912,-1.3278408418833862
70.0,367658.74482332834,4342096.670503704,2.9751768366619626,-1.2421978320888818
75.0,367667.0734911561,4342084.008083465,2.9686366299960216,-1.1383354469267677
80.0,367676.8539749443,4342072.420497911,2.9635225709191544,-1.0297333383831262
85.0,367687.90616202966,4342062.021883026,2.959399019061478,-0.9306877521574585
90.0,367699.92038499506,4342052.731472327,2.955791274631962,-0.8543488998020531
95.0,367712.54136207775,4342044.265515209,2.952367376483881,-0.8096191945233422
100.0,367725.4809760859,4342036.282010528,2.948985425245231,-0.788591636466844
105.0,367738.5497884532,4342028.501204777,2.9456112184845216,-0.7893915307429323
110.0,367751.5741307318,4342020.636054678,2.9422353094782867,-0.8121829345564978
115.0,367764.3832213058,4342012.413221697,2.938821291512064,-0.855706416785651
120.0,367776.8029210731,4342003.59827417,2.9352619065668817,-0.9188297436690275
125.0,367788.5936996667,4341993.941055349,2.931311468807114,-1.0088091233698642
130.0,367799.46282778645,4341983.235755395,2.9265325701741416,-1.1172880201411097
135.0,367809.2059782722,4341971.471044132,2.9204333501748803,-1.2298368523786716
140.0,367817.7893846931,4341958.807978855,2.9127043898912532,-1.3309813208707126
145.0,367825.3999772181,4341945.51052181,2.903419870412052,-1.4062550775344254
150.0,367832.4019825988,4341931.857983154,2.893024847994003,-1.4529247196559039
155.0,367839.13179078564,4341918.045596744,2.881996663047182,-1.475607509384948
160.0,367845.94170018396,4341904.248058875,2.870859015830167,-1.4713702249162812
165.0,367853.2099556406,4341890.6593439,2.8601804759702936,-1.438723377425858
170.0,367861.3025620913,4341877.513287825,2.8505041456155737,-1.3777648754379603
175.0,367870.52941570326,4341865.09907764,2.8422633026318485,-1.2902304528281143
180.0,367881.09861167683,4341853.760413671,2.8356833902319645,-1.17949095244115
185.0,367893.0781130436,4341843.870787456,2.830694765051623,-1.049806398851815
190.0,367906.4149504459,4341835.850951514,2.8269294108746026,-0.898295214739644
195.0,367920.8937405658,4341830.086417576,2.823700362363228,-0.7405834191043131
200.0,367936.09228768945,4341826.578361184,2.8202069040851954,-0.6058078829206446
205.0,367951.5895615526,4341824.765816425,2.816097030102304,-0.5326486321721196
210.0,367967.10913838656,4341823.23851013,2.811876226807774,-0.5776928168883001
215.0,367982.33240064344,4341819.9766284255,2.8083780516098575,-0.7602640880487364
220.0,367996.25583769707,4341813.080607631,2.8049732553053013,-1.080541235743169
225.0,368006.58301831275,4341801.512539616,2.7975483879187166,-1.5363439566234836
230.0,368010.1289809153,4341786.445034968,2.780350902343571,-2.0907579460880363
235.0,368004.930497301,4341771.934839486,2.75569380582841,-2.70663764826646
240.0,367992.29005646444,4341763.298704468,2.7350827947668668,-3.3535396619594096
245.0,367977.129249501,4341764.058608444,2.7073574055047818,-4.002697263473094
250.0,367965.58539094654,4341773.60160131,2.679848979849972,-4.614464975956894
255.0,367961.455028379,4341787.786633501,2.665466782605746,-5.156398698181058
260.0,367964.7237239927,4341802.082934254,2.6627492339435856,-5.5874882658357565
265.0,367972.9954026503,4341814.15591027,2.6639517658627287,-5.882187508633712
270.0,367983.82297877176,4341823.9881612025,2.6648746312542553,-6.039180874897671
275.0,367995.49616556964,4341832.771040112,2.665161138281045,-6.058468364627635
280.0,368006.7249704471,4341842.054904437,2.6658015324787194,-5.940049977823601
285.0,368016.04990445665,4341853.158696705,2.667077931187998,-5.683925714485571
290.0,368021.44162916247,4341866.489016973,2.666240860169428,-5.290095574613545
295.0,368020.5754695121,4341880.640331934,2.656251577305888,-4.759549833706869
300.0,368012.3372140466,4341891.834525348,2.632576954167667,-4.1114524362826455
305.0,367999.1478628536,4341895.277485401,2.606532612665495,-3.3840016412868272
310.0,367987.28014074307,4341888.880340675,2.5868133594007525,-2.620858220034246
315.0,367983.24762439873,4341876.08635879,2.5648601012113295,-1.8699414435174757
320.0,367988.8844435419,4341863.851115327,2.555692925685203,-1.187522745099402
325.0,368000.80790380365,4341857.296507661,2.5549546236877014,-0.6245393235563467
330.0,368014.5085571156,4341857.209185631,2.552234917588219,-0.19908249374233292
335.0,368027.42204025877,4341861.904999579,2.550151736422981,0.08866845953768439
340.0,368039.0404466094,4341869.270156245,2.5508857771260605,0.24874635334406958
345.0,368049.37659488735,4341878.301091335,2.552829886671291,0.44332403034307966
350.0,368057.06211881543,4341889.5791701,2.5547423691083826,0.774796073674364
355.0,368059.91072480293,4341902.7842493085,2.5515349384818355,1.2439737390173076
360.0,368055.93814708345,4341915.461245106,2.5356912588297673,1.8438292179988514
365.0,368045.4353797972,4341923.154206068,2.509740527403379,2.5401202505386724
370.0,368032.6619672642,4341922.007844706,2.4903125725675292,3.288251913007883
375.0,368024.24750347744,4341912.4540341385,2.468174367386232,4.040946739024931
380.0,368024.5691094637,4341899.734112245,2.4525099321456922,4.744234482212908
385.0,368032.8271752296,4341889.915136819,2.449755473045557,5.348729647313545
390.0,368045.1011586305,4341885.772977319,2.4502855798738836,5.819707743503443
395.0,368058.08262765576,4341886.775977623,2.4476643788679615,6.1529799631593445
400.0,368070.383027003,4341891.122493043,2.446688861809764,6.348546306281249
405.0,368082.06425543333,4341896.947030531,2.4474346560116764,6.406406772869158
410.0,368093.8226904788,4341902.582427593,2.4480470117719726,6.32656136292307
415.0,368106.26708424144,4341906.3598601,2.446630869314124,6.109010076442985
420.0,368119.21594517626,4341906.447685263,2.4444154004310885,5.753752913428904
425.0,368131.01469609624,4341901.234411547,2.4451523520689755,5.261286381674754
430.0,368138.3717505948,4341890.664799138,2.441144000616793,4.648843058506091
435.0,368137.96605335036,4341877.815397247,2.424303387989811,3.956672421973756
440.0,368129.42852745374,4341868.296907752,2.403262437062027,3.230157985054519
445.0,368116.80689517834,4341866.784978025,2.384128192635078,2.5169062710167114
450.0,368106.2000298077,4341873.581621496,2.3590032378595143,1.8678364723115337
455.0,368101.51495379827,4341885.125569453,2.343314220968523,1.326810459301188
460.0,368102.8812785188,4341897.420515523,2.3395563336540692,0.9210561719040569
465.0,368108.42648776225,4341908.438617225,2.341844597852624,0.6530077610409222
470.0,368116.1644915638,4341918.027947719,2.345711685566424,0.522665226711784
475.0,368124.5614561303,4341927.024323864,2.3496991313548805,0.5300285689166423
480.0,368132.3291338128,4341936.52546186,2.3534233617914295,0.6750977876554972
485.0,368138.02285739157,4341947.322678504,2.3552732574641353,0.9578728829283486
490.0,368139.8643280448,4341959.270811215,2.3507092223696264,1.3782406902392446
495.0,368136.23465355556,4341970.611216056,2.3346013408210746,1.924437744096696
500.0,368127.17320267257,4341978.003425392,2.3109437456976756,2.5605267991110887
505.0,368115.6418108321,4341978.305116344,2.2937809466476318,3.2436516437660616
510.0,368106.6432255947,4341971.228703178,2.2731589460632997,3.9297150077796683
515.0,368104.1282008142,4341960.097888619,2.256344146324965,4.568964530720684
520.0,368108.56275522476,4341949.517722529,2.2520505323995197,5.119413829447163
525.0,368117.64279468596,4341942.32642248,2.2545263995097033,5.544706738675992
530.0,368128.76269084786,4341938.788772653,2.2567315958330116,5.832459323438496
535.0,368140.42852430907,4341937.754263009,2.2567598685804775,5.982506031667003
540.0,368152.14920239564,4341937.6602324145,2.2557067195561524,5.994846863361512
545.0,368163.8350145766,4341936.895103895,2.255393272872487,5.869481818522026
550.0,368175.1382051178,4341933.896076292,2.257155211792293,5.606410897148543
555.0,368184.8655486273,4341927.423657737,2.259877518912032,5.206537664282504
560.0,368190.80655559205,4341917.361422404,2.2575978837347868,4.687480844063827
565.0,368190.6710129287,4341905.6875508595,2.243713883877501,4.084881034715888
570.0,368183.90376993996,4341896.2448351495,2.223019088180802,3.4394979571582733
575.0,368172.89788542426,4341892.764132417,2.2073087753576526,2.7931221223453213
580.0,368162.01993387396,4341896.381425394,2.184856716083218,2.1933488589040255
585.0,368154.9162598249,4341905.212807292,2.16414778202696,1.6791720403761847
590.0,368152.7035536421,4341916.209437248,2.153233212221911,1.2854811561733839
595.0,368154.38775335904,4341927.224365082,2.150508859836626,1.0286856360859173
